oui,wifiChipManufacturer,estimatedDeviceCategory
8C210A,"TP-LINK TECHNOLOGIES CO.,LTD.",Non-mobile device
EC172F,"TP-LINK TECHNOLOGIES CO.,LTD.",Non-mobile device
EC888F,"TP-LINK TECHNOLOGIES CO.,LTD.",Non-mobile device
14CF92,"TP-LINK TECHNOLOGIES CO.,LTD.",Non-mobile device
645601,"TP-LINK TECHNOLOGIES CO.,LTD.",Non-mobile device
14CC20,"TP-LINK TECHNOLOGIES CO.,LTD.",Non-mobile device
BC4699,"TP-LINK TECHNOLOGIES CO.,LTD.",Non-mobile device
0C45BA,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
847778,Cochlear Limited,Non-mobile device
0453D5,Sysorex Global Holdings,Non-mobile device
CCA223,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
E8088B,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
60E701,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
000883,Hewlett Packard,Non-mobile device
C4346B,Hewlett Packard,Non-mobile device
8CDCD4,Hewlett Packard,Non-mobile device
3464A9,Hewlett Packard,Non-mobile device
D4C9EF,Hewlett Packard,Non-mobile device
A45D36,Hewlett Packard,Non-mobile device
A0D3C1,Hewlett Packard,Non-mobile device
40A8F0,Hewlett Packard,Non-mobile device
6C3BE5,Hewlett Packard,Non-mobile device
082E5F,Hewlett Packard,Non-mobile device
28924A,Hewlett Packard,Non-mobile device
10604B,Hewlett Packard,Non-mobile device
308D99,Hewlett Packard,Non-mobile device
0030C1,Hewlett Packard,Non-mobile device
FC3FDB,Hewlett Packard,Non-mobile device
4CA161,Rain Bird Corporation,Non-mobile device
7C6193,HTC Corporation,Mobile phone
001217,"Cisco-Linksys, LLC",Non-mobile device
000C41,"Cisco-Linksys, LLC",Non-mobile device
000F66,"Cisco-Linksys, LLC",Non-mobile device
44E08E,Cisco SPVTG,Non-mobile device
185933,Cisco SPVTG,Non-mobile device
E448C7,Cisco SPVTG,Non-mobile device
24767D,Cisco SPVTG,Non-mobile device
2CABA4,Cisco SPVTG,Non-mobile device
0002C7,"ALPS ELECTRIC CO.,LTD.",Non-mobile device
04766E,"ALPS ELECTRIC CO.,LTD.",Non-mobile device
006B8E,"Shanghai Feixun Communication Co.,Ltd.",Non-mobile device
AC853D,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
74882A,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
78D752,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
E0247F,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
00464B,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
707BE8,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
548998,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
0819A6,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
3CF808,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
B41513,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
283152,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
DCD2FC,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
0003DD,Comark Interactive Solutions,Non-mobile device
00107B,"Cisco Systems, Inc",Non-mobile device
00906D,"Cisco Systems, Inc",Non-mobile device
0090BF,"Cisco Systems, Inc",Non-mobile device
005080,"Cisco Systems, Inc",Non-mobile device
00E018,ASUSTek COMPUTER INC.,Non-mobile device
000C6E,ASUSTek COMPUTER INC.,Non-mobile device
001BFC,ASUSTek COMPUTER INC.,Non-mobile device
001E8C,ASUSTek COMPUTER INC.,Non-mobile device
0015F2,ASUSTek COMPUTER INC.,Non-mobile device
002354,ASUSTek COMPUTER INC.,Non-mobile device
001FC6,ASUSTek COMPUTER INC.,Non-mobile device
60182E,ShenZhen Protruly Electronic Ltd co.,Non-mobile device
F4CFE2,"Cisco Systems, Inc",Non-mobile device
501CBF,"Cisco Systems, Inc",Non-mobile device
285FDB,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
404D8E,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
781DBA,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
001E10,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
88F031,"Cisco Systems, Inc",Non-mobile device
508789,"Cisco Systems, Inc",Non-mobile device
381C1A,"Cisco Systems, Inc",Non-mobile device
F40F1B,"Cisco Systems, Inc",Non-mobile device
BC671C,"Cisco Systems, Inc",Non-mobile device
A0ECF9,"Cisco Systems, Inc",Non-mobile device
D46D50,"Cisco Systems, Inc",Non-mobile device
1CE85D,"Cisco Systems, Inc",Non-mobile device
C47295,"Cisco Systems, Inc",Non-mobile device
A0554F,"Cisco Systems, Inc",Non-mobile device
84B802,"Cisco Systems, Inc",Non-mobile device
BCC493,"Cisco Systems, Inc",Non-mobile device
001947,Cisco SPVTG,Non-mobile device
0022CE,Cisco SPVTG,Non-mobile device
F02929,"Cisco Systems, Inc",Non-mobile device
ECE1A9,"Cisco Systems, Inc",Non-mobile device
7C69F6,"Cisco Systems, Inc",Non-mobile device
C08C60,"Cisco Systems, Inc",Non-mobile device
C0255C,"Cisco Systems, Inc",Non-mobile device
885A92,"Cisco Systems, Inc",Non-mobile device
E4C722,"Cisco Systems, Inc",Non-mobile device
C07BBC,"Cisco Systems, Inc",Non-mobile device
0090F2,"Cisco Systems, Inc",Non-mobile device
00173B,"Cisco Systems, Inc",Non-mobile device
00400B,"Cisco Systems, Inc",Non-mobile device
006009,"Cisco Systems, Inc",Non-mobile device
006047,"Cisco Systems, Inc",Non-mobile device
0006C1,"Cisco Systems, Inc",Non-mobile device
00E014,"Cisco Systems, Inc",Non-mobile device
00E01E,"Cisco Systems, Inc",Non-mobile device
ACF2C5,"Cisco Systems, Inc",Non-mobile device
84285A,Saffron Solutions Inc,Non-mobile device
80A1AB,Intellisis,Non-mobile device
F832E4,ASUSTek COMPUTER INC.,Non-mobile device
0010FF,"Cisco Systems, Inc",Non-mobile device
34BDC8,"Cisco Systems, Inc",Non-mobile device
54A274,"Cisco Systems, Inc",Non-mobile device
5897BD,"Cisco Systems, Inc",Non-mobile device
046C9D,"Cisco Systems, Inc",Non-mobile device
141357,"ATP Electronics, Inc.",Non-mobile device
F44B2A,Cisco SPVTG,Non-mobile device
3C8CF8,"TRENDnet, Inc.",Non-mobile device
78D6B2,Toshiba,Non-mobile device
C04A09,"Zhejiang Everbright Communication Equip. Co,. Ltd",Non-mobile device
F00D5C,"JinQianMao  Technology Co.,Ltd.",Non-mobile device
2C081C,OVH,Non-mobile device
30E090,"Linctronix Ltd,",Non-mobile device
70BF3E,Charles River Laboratories,Non-mobile device
D848EE,"Hangzhou Xueji Technology Co., Ltd.",Non-mobile device
88C242,Poynt Co.,Non-mobile device
E8343E,"Beijing Infosec Technologies Co., LTD.",Non-mobile device
C4ADF1,GOPEACE Inc.,Non-mobile device
58F496,Source Chain,Non-mobile device
80B709,"Viptela, Inc",Non-mobile device
741865,"Shanghai DareGlobal Technologies Co.,Ltd",Non-mobile device
0084ED,Private,Non-mobile device
DCDC07,TRP Systems BV,Non-mobile device
080A4E,Planet BingoÂ® â€” 3rd Rock GamingÂ®,Non-mobile device
0C1A10,Acoustic Stream,Non-mobile device
E4A387,Control Solutions LLC,Non-mobile device
DC82F6,iPort,Non-mobile device
C49E41,G24 Power Limited,Non-mobile device
D03E5C,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
C8A9FC,Goyoo Networks Inc.,Non-mobile device
C49FF3,"Mciao Technologies, Inc.",Non-mobile device
7C2BE1,"Shenzhen Ferex Electrical Co.,Ltd",Non-mobile device
30FFF6,"HangZhou KuoHeng Technology Co.,ltd",Non-mobile device
5853C0,"Beijing Guang Runtong Technology Development Company co.,Ltd",Non-mobile device
5031AD,ABB Global Industries and Services Private Limited,Non-mobile device
30A243,"Shenzhen Prifox Innovation Technology Co., Ltd.",Non-mobile device
2CA539,"Parallel Wireless, Inc",Non-mobile device
FC335F,Polyera,Non-mobile device
A8C87F,"Roqos, Inc.",Non-mobile device
C025A2,"NEC Platforms, Ltd.",Non-mobile device
7853F2,ROXTON Ltd.,Non-mobile device
94BBAE,Husqvarna AB,Non-mobile device
AC8995,AzureWave Technology Inc.,Non-mobile device
F898B9,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
1C497B,"Gemtek Technology Co., Ltd.",Non-mobile device
2CCF58,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
54FF82,Davit Solution co.,Non-mobile device
D445E8,"Jiangxi Hongpai Technology Co., Ltd.",Non-mobile device
847973,"Shanghai Baud Data Communication Co.,Ltd.",Non-mobile device
906F18,Private,Non-mobile device
881B99,SHENZHEN XIN FEI JIA ELECTRONIC CO. LTD.,Non-mobile device
681295,Lupine Lighting Systems GmbH,Non-mobile device
649A12,P2 Mobile Technologies Limited,Mobile phone
E4C2D1,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
DC3CF6,Atomic Rules LLC,Non-mobile device
3C3178,Qolsys Inc.,Non-mobile device
083A5C,"Junilab, Inc.",Non-mobile device
4CAE31,ShengHai Electronics (Shenzhen) Ltd,Non-mobile device
F0D657,ECHOSENS,Non-mobile device
24693E,innodisk Corporation,Non-mobile device
E48D8C,Routerboard.com,Non-mobile device
C0DC6A,"Qingdao Eastsoft Communication Technology Co.,LTD",Non-mobile device
6459F8,Vodafone Omnitel B.V.,Non-mobile device
082CB0,Network Instruments,Non-mobile device
485073,Microsoft Corporation,Non-mobile device
3CA31A,Oilfind International LLC,Non-mobile device
A424DD,Cambrionix Ltd,Non-mobile device
88A2D7,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
D89A34,"Beijing SHENQI Technology Co., Ltd.",Non-mobile device
1CADD1,"Bosung Electronics Co., Ltd.",Non-mobile device
24E5AA,"Philips Oral Healthcare, Inc.",Non-mobile device
88CBA5,"Suzhou Torchstar Intelligent Technology Co.,Ltd",Non-mobile device
046169,"MEDIA GLOBAL LINKS CO., LTD.",Non-mobile device
AC562C,LAVA INTERNATIONAL(H.K) LIMITED,Non-mobile device
3CCE15,"Mercedes-Benz USA, LLC",Non-mobile device
84DF19,Chuango Security Technology Corporation,Non-mobile device
3C4711,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
245BF0,"Liteon, Inc.",Non-mobile device
FCFEC2,Invensys Controls UK Limited,Non-mobile device
E8F2E2,LG Innotek,Mobile phone
AC676F,Electrocompaniet A.S.,Non-mobile device
4CB82C,"Cambridge Mobile Telematics, Inc.",Mobile phone
F0224E,Esan electronic co.,Non-mobile device
B0411D,ITTIM Technologies,Non-mobile device
7CB25C,Acacia Communications,Non-mobile device
78EB39,Instituto Nacional de TecnologÃ­a Industrial,Non-mobile device
ECEED8,"ZTLX Network Technology Co.,Ltd",Non-mobile device
F85B9C,"SB SYSTEMS Co.,Ltd",Non-mobile device
7CA237,"King Slide Technology CO., LTD.",Non-mobile device
847303,Letv Mobile and Intelligent Information Technology (Beijing) Corporation Ltd.,Mobile phone
B0495F,"OMRON HEALTHCARE Co., Ltd.",Non-mobile device
F44713,"Leading Public Performance Co., Ltd.",Non-mobile device
D4522A,TangoWiFi.com,Non-mobile device
B0ECE1,Private,Non-mobile device
407FE0,Glory Star Technics (ShenZhen) Limited,Non-mobile device
BC5C4C,"ELECOM CO.,LTD.",Non-mobile device
6CA75F,zte corporation,Mobile phone
C8C50E,"Shenzhen Primestone Network Technologies.Co., Ltd.",Non-mobile device
9CBEE0,"Biosoundlab Co., Ltd.",Non-mobile device
5C5B35,"Mist Systems, Inc.",Non-mobile device
E807BF,"SHENZHEN BOOMTECH INDUSTRY CO.,LTD",Non-mobile device
E8162B,"IDEO Security Co., Ltd.",Non-mobile device
709F2D,zte corporation,Mobile phone
ECE2FD,"SKG Electric Group(Thailand) Co., Ltd.",Non-mobile device
88E603,Avotek corporation,Non-mobile device
74E28C,Microsoft Corporation,Non-mobile device
94F19E,"HUIZHOU MAORONG INTELLIGENT TECHNOLOGY CO.,LTD",Non-mobile device
C4924C,"KEISOKUKI CENTER CO.,LTD.",Non-mobile device
E4F939,Minxon Hotel Technology INC.,Non-mobile device
38C70A,WiFiSong,Non-mobile device
60E6BC,"Sino-Telecom Technology Co.,Ltd.",Non-mobile device
486EFB,"Davit System Technology Co., Ltd.",Non-mobile device
340A22,TOP-ACCESS ELECTRONICS CO LTD,Non-mobile device
B008BF,"Vital Connect, Inc.",Non-mobile device
485415,NET RULES TECNOLOGIA EIRELI,Non-mobile device
70C76F,INNO S,Non-mobile device
704E66,"SHENZHEN FAST TECHNOLOGIES CO.,LTD",Non-mobile device
409B0D,"Shenzhen Yourf Kwan Industrial Co., Ltd",Non-mobile device
C40880,"Shenzhen UTEPO Tech Co., Ltd.",Non-mobile device
94C038,Tallac Networks,Non-mobile device
801967,"Shanghai Reallytek Information Technology  Co.,Ltd",Non-mobile device
6836B5,"DriveScale, Inc.",Non-mobile device
2CF7F1,Seeed Technology Inc.,Non-mobile device
F88479,"Yaojin Technology(Shenzhen)Co.,Ltd",Non-mobile device
4C48DA,"Beijing Autelan Technology Co.,Ltd",Non-mobile device
90179B,Nanomegas,Non-mobile device
3077CB,"Maike Industry(Shenzhen)CO.,LTD",Non-mobile device
3428F0,ATN International Limited,Non-mobile device
EC3C5A,"SHEN ZHEN HENG SHENG HUI DIGITAL TECHNOLOGY CO.,LTD",Non-mobile device
8C0551,Koubachi AG,Non-mobile device
E887A3,Loxley Public Company Limited,Non-mobile device
10FACE,"Reacheng Communication Technology Co.,Ltd",Non-mobile device
D8CB8A,"Micro-Star INTL CO., LTD.",Non-mobile device
A8D0E3,Systech Electronics Ltd.,Non-mobile device
8463D6,Microsoft Corporation,Non-mobile device
78B3B9,"ShangHai sunup lighting CO.,LTD",Non-mobile device
186571,"Top Victory Electronics (Taiwan) Co., Ltd.",Non-mobile device
F8BC41,Rosslare Enterprises Limited,Non-mobile device
8486F3,Greenvity Communications,Non-mobile device
205CFA,"Yangzhou ChangLian Network Technology Co,ltd.",Non-mobile device
8C18D9,"Shenzhen RF Technology Co., Ltd",Non-mobile device
6099D1,Vuzix / Lenovo,Non-mobile device
34F6D2,"Panasonic Taiwan Co.,Ltd.",Non-mobile device
DC2F03,"Step forward Group Co., Ltd.",Non-mobile device
582136,"KMB systems, s.r.o.",Non-mobile device
00AEFA,"Murata Manufacturing Co., Ltd.",Non-mobile device
8CDF9D,NEC Corporation,Non-mobile device
F8E903,D-Link International,Non-mobile device
6828F6,"Vubiq Networks, Inc.",Non-mobile device
44356F,Neterix,Non-mobile device
742EFC,"DirectPacket Research, Inc,",Non-mobile device
20C06D,"SHENZHEN SPACETEK TECHNOLOGY CO.,LTD",Non-mobile device
3CB792,"Hitachi Maxell, Ltd., Optronics Division",Non-mobile device
7491BD,"Four systems Co.,Ltd.",Non-mobile device
D43266,Fike Corporation,Non-mobile device
948E89,INDUSTRIAS UNIDAS SA DE CV,Non-mobile device
9405B6,Liling FullRiver Electronics & Technology Ltd,Non-mobile device
382C4A,ASUSTek COMPUTER INC.,Non-mobile device
74547D,Cisco SPVTG,Non-mobile device
D48F33,Microsoft Corporation,Non-mobile device
1CA2B1,ruwido austria gmbh,Non-mobile device
945493,"Rigado, LLC",Non-mobile device
34B7FD,"Guangzhou Younghead Electronic Technology Co.,Ltd",Non-mobile device
384B76,AIRTAME ApS,Non-mobile device
1C5216,"DONGGUAN HELE ELECTRONICS CO., LTD",Non-mobile device
34029B,CloudBerry Technologies Private Limited,Non-mobile device
70AF25,"Nishiyama Industry Co.,LTD.",Non-mobile device
B47C29,"Shenzhen Guzidi Technology Co.,Ltd",Non-mobile device
2C1A31,Electronics Company Limited,Non-mobile device
6C198F,D-Link International,Non-mobile device
60C1CB,"Fujian Great Power PLC Equipment Co.,Ltd",Non-mobile device
686E48,"Prophet Electronic Technology Corp.,Ltd",Non-mobile device
30F7D7,"Thread Technology Co., Ltd",Non-mobile device
3808FD,Silca Spa,Non-mobile device
7C2587,chaowifi.com,Non-mobile device
2012D5,Scientech Materials Corporation,Non-mobile device
EC1D7F,zte corporation,Mobile phone
AC11D3,Suzhou HOTEK  Video Technology Co. Ltd,Non-mobile device
304225,BURG-WÃ„CHTER KG,Non-mobile device
1C4840,IMS Messsysteme GmbH,Non-mobile device
F42853,Zioncom Electronics (Shenzhen) Ltd.,Non-mobile device
3C46D8,"TP-LINK TECHNOLOGIES CO.,LTD.",Non-mobile device
6C0273,"Shenzhen Jin Yun Video Equipment Co., Ltd.",Non-mobile device
F42833,MMPC Inc.,Non-mobile device
244F1D,iRule LLC,Non-mobile device
BC9CC5,"Beijing Huafei Technology Co., Ltd.",Non-mobile device
505065,TAKT Corporation,Non-mobile device
A4A4D3,Bluebank Communication Technology Co.Ltd,Non-mobile device
74F413,Maxwell Forest,Non-mobile device
34F0CA,"Shenzhen Linghangyuan Digital Technology Co.,Ltd.",Non-mobile device
30B5F1,"Aitexin Technology Co., Ltd",Non-mobile device
08CD9B,samtec automotive electronics & software GmbH,Non-mobile device
28FCF6,"Shenzhen Xin KingBrand enterprises Co.,Ltd",Non-mobile device
4C26E7,"Welgate Co., Ltd.",Mobile phone
94D60E,"shenzhen yunmao information technologies co., ltd",Non-mobile device
7C6AC3,"GatesAir, Inc",Non-mobile device
3CCD5A,Technische Alternative GmbH,Non-mobile device
604826,Newbridge Technologies Int. Ltd.,Non-mobile device
24D13F,"MEXUS CO.,LTD",Non-mobile device
702C1F,Wisol,Non-mobile device
9CBD9D,"SkyDisk, Inc.",Non-mobile device
74C621,"Zhejiang Hite Renewable Energy Co.,LTD",Non-mobile device
44C306,SIFROM Inc.,Non-mobile device
54A31B,"Shenzhen Linkworld Technology Co,.LTD",Non-mobile device
5CE7BF,"New Singularity International Technical Development Co.,Ltd",Non-mobile device
1CEEE8,Ilshin Elecom,Non-mobile device
6C641A,Penguin Computing,Non-mobile device
E036E3,"Stage One International Co., Ltd.",Non-mobile device
34DE34,zte corporation,Mobile phone
34466F,HiTEM Engineering,Non-mobile device
2C39C1,Ciena Corporation,Non-mobile device
6C2C06,OOO NPP Systemotechnika-NN,Non-mobile device
54EE75,"Wistron InfoComm(Kunshan)Co.,Ltd.",Non-mobile device
60812B,Custom Control Concepts,Non-mobile device
F86601,"Suzhou Chi-tek information technology Co., Ltd",Non-mobile device
FC4AE9,Castlenet Technology Inc.,Non-mobile device
34E42A,Automatic Bar Controls Inc.,Non-mobile device
20A787,Bointec Taiwan Corporation Limited,Non-mobile device
A481EE,Nokia Corporation,Mobile phone
54C80F,"TP-LINK TECHNOLOGIES CO.,LTD.",Non-mobile device
EC1766,Research Centre Module,Non-mobile device
7CFF62,"Huizhou Super Electron Technology Co.,Ltd.",Non-mobile device
A0D12A,AXPRO Technology Inc.,Non-mobile device
30C750,MIC Technology Group,Non-mobile device
442938,NietZsche enterprise Co.Ltd.,Non-mobile device
D881CE,AHN INC.,Non-mobile device
E0D31A,"EQUES Technology Co., Limited",Non-mobile device
9C3EAA,"EnvyLogic Co.,Ltd.",Non-mobile device
909864,Impex-Sat GmbH&amp;Co KG,Non-mobile device
DCE578,Experimental Factory of Scientific Engineering and Special Design Department,Non-mobile device
949F3F,Optek Digital Technology company limited,Non-mobile device
987770,"Pep Digital Technology (Guangzhou) Co., Ltd",Non-mobile device
4411C2,Telegartner Karl Gartner GmbH,Non-mobile device
9451BF,Hyundai ESG,Non-mobile device
4C7F62,Nokia Corporation,Mobile phone
F03FF8,R L Drake,Non-mobile device
B0C554,D-Link International,Non-mobile device
54D163,"MAX-TECH,INC",Non-mobile device
E41218,"ShenZhen Rapoo Technology Co., Ltd.",Non-mobile device
2C8A72,HTC Corporation,Mobile phone
4486C1,Siemens Low Voltage & Products,Non-mobile device
C83168,eZEX corporation,Non-mobile device
F84A73,"EUMTECH CO., LTD",Non-mobile device
880F10,"Huami Information Technology Co.,Ltd.",Non-mobile device
24336C,Private,Non-mobile device
C46BB4,myIDkey,Non-mobile device
ECE512,tado GmbH,Non-mobile device
30918F,Technicolor,Non-mobile device
FC09F6,"GUANGDONG TONZE ELECTRIC CO.,LTD",Non-mobile device
687848,"Westunitis Co., Ltd.",Non-mobile device
A8B9B3,ESSYS,Non-mobile device
64B370,PowerComm Solutions LLC,Non-mobile device
D86595,Toy's Myth Inc.,Non-mobile device
D8DD5F,BALMUDA Inc.,Non-mobile device
88D962,Canopus Systems US LLC,Non-mobile device
2C18AE,"Trend Electronics Co., Ltd.",Non-mobile device
E097F2,Atomax Inc.,Non-mobile device
90F3B7,"Kirisun Communications Co., Ltd.",Non-mobile device
DCAD9E,GreenPriz,Non-mobile device
B4827B,AKG Acoustics GmbH,Non-mobile device
908C44,"H.K ZONGMU TECHNOLOGY CO., LTD.",Non-mobile device
0C473D,Hitron Technologies. Inc,Non-mobile device
9CF8DB,"shenzhen eyunmei technology co,.ltd",Non-mobile device
644214,Swisscom Energy Solutions AG,Non-mobile device
8CCDA2,"ACTP, Inc.",Non-mobile device
CC720F,Viscount Systems Inc.,Non-mobile device
906717,Alphion India Private Limited,Non-mobile device
24050F,MTN Electronic Co. Ltd,Non-mobile device
40B6B1,"SUNGSAM CO,.Ltd",Non-mobile device
98FF6A,"OTEC(Shanghai)Technology Co.,Ltd.",Non-mobile device
AC6BAC,Jenny Science AG,Non-mobile device
707C18,"ADATA Technology Co., Ltd",Non-mobile device
FC4B1C,INTERSENSOR S.R.L.,Non-mobile device
1879A2,GMJ ELECTRIC LIMITED,Non-mobile device
E0C86A,"SHENZHEN TW-SCIE Co., Ltd",Non-mobile device
80BAE6,Neets,Non-mobile device
041A04,WaveIP,Non-mobile device
50206B,Emerson Climate Technologies Transportation Solutions,Non-mobile device
C8EE75,Pishion International Co. Ltd,Non-mobile device
CC3429,"TP-LINK TECHNOLOGIES CO.,LTD.",Non-mobile device
407496,aFUN TECHNOLOGY INC.,Non-mobile device
18C8E7,"Shenzhen Hualistone Technology Co.,Ltd",Non-mobile device
3CF748,"Shenzhen Linsn Technology Development Co.,Ltd",Non-mobile device
9C039E,"Beijing Winchannel Software Technology Co., Ltd",Non-mobile device
48A2B7,Kodofon JSC,Non-mobile device
443C9C,Pintsch Tiefenbach GmbH,Non-mobile device
F81CE5,Telefonbau Behnke GmbH,Non-mobile device
BC2D98,ThinGlobal LLC,Non-mobile device
7C72E4,Unikey Technologies,Non-mobile device
181BEB,"Actiontec Electronics, Inc",Non-mobile device
CC7498,Filmetrics Inc.,Non-mobile device
7C6AB3,IBC TECHNOLOGIES INC.,Non-mobile device
F0321A,Mita-Teknik A/S,Non-mobile device
4CD7B6,Helmer Scientific,Non-mobile device
746F3D,Contec GmbH,Non-mobile device
483D32,Syscor Controls &amp; Automation,Non-mobile device
9031CD,Onyx Healthcare Inc.,Non-mobile device
404A18,Addrek Smart Solutions,Non-mobile device
